key,value,timestamp,topic,partition,offset
b'ETH/USD',"{""price"": 2174.99, ""pair"": ""ETH/USD"", ""volume"": 2.15261802, ""timestamp"": ""2025-03-08T13:22:40.296075Z"", ""timestamp_ms"": 1741440160296}",1741440160522,trade,0,4108
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.0005688, ""timestamp"": ""2025-03-08T13:22:40.684373Z"", ""timestamp_ms"": 1741440160684}",1741440160906,trade,0,4109
b'BTC/EUR',"{""price"": 79550.3, ""pair"": ""BTC/EUR"", ""volume"": 0.00143907, ""timestamp"": ""2025-03-08T13:22:41.566144Z"", ""timestamp_ms"": 1741440161566}",1741440161810,trade,0,4110
b'BTC/EUR',"{""price"": 79589.1, ""pair"": ""BTC/EUR"", ""volume"": 0.00023234, ""timestamp"": ""2025-03-08T13:22:43.530021Z"", ""timestamp_ms"": 1741440163530}",1741440163794,trade,0,4111
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 0.03141497, ""timestamp"": ""2025-03-08T13:22:45.972579Z"", ""timestamp_ms"": 1741440165972}",1741440166217,trade,0,4112
b'ETH/EUR',"{""price"": 2008.06, ""pair"": ""ETH/EUR"", ""volume"": 0.01493696, ""timestamp"": ""2025-03-08T13:22:47.007053Z"", ""timestamp_ms"": 1741440167007}",1741440167270,trade,0,4113
b'ETH/EUR',"{""price"": 2008.13, ""pair"": ""ETH/EUR"", ""volume"": 0.04730923, ""timestamp"": ""2025-03-08T13:22:51.389647Z"", ""timestamp_ms"": 1741440171389}",1741440171623,trade,0,4114
b'ETH/EUR',"{""price"": 2008.13, ""pair"": ""ETH/EUR"", ""volume"": 0.00048807, ""timestamp"": ""2025-03-08T13:22:51.389647Z"", ""timestamp_ms"": 1741440171389}",1741440171627,trade,0,4115
b'BTC/USD',"{""price"": 86182.2, ""pair"": ""BTC/USD"", ""volume"": 0.001, ""timestamp"": ""2025-03-08T13:22:55.248207Z"", ""timestamp_ms"": 1741440175248}",1741440175468,trade,0,4116
b'BTC/USD',"{""price"": 86182.2, ""pair"": ""BTC/USD"", ""volume"": 0.001, ""timestamp"": ""2025-03-08T13:22:55.248207Z"", ""timestamp_ms"": 1741440175248}",1741440175468,trade,0,4117
b'BTC/USD',"{""price"": 86175.9, ""pair"": ""BTC/USD"", ""volume"": 0.002, ""timestamp"": ""2025-03-08T13:22:55.248207Z"", ""timestamp_ms"": 1741440175248}",1741440175469,trade,0,4118
b'BTC/USD',"{""price"": 86156.3, ""pair"": ""BTC/USD"", ""volume"": 0.00202498, ""timestamp"": ""2025-03-08T13:22:55.248207Z"", ""timestamp_ms"": 1741440175248}",1741440175469,trade,0,4119
b'BTC/USD',"{""price"": 86156.3, ""pair"": ""BTC/USD"", ""volume"": 0.32145752, ""timestamp"": ""2025-03-08T13:22:55.248207Z"", ""timestamp_ms"": 1741440175248}",1741440175470,trade,0,4120
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025308, ""timestamp"": ""2025-03-08T13:22:56.995415Z"", ""timestamp_ms"": 1741440176995}",1741440177254,trade,0,4121
b'ETH/EUR',"{""price"": 2007.82, ""pair"": ""ETH/EUR"", ""volume"": 0.00953443, ""timestamp"": ""2025-03-08T13:23:01.712453Z"", ""timestamp_ms"": 1741440181712}",1741440181985,trade,0,4122
b'ETH/EUR',"{""price"": 2007.81, ""pair"": ""ETH/EUR"", ""volume"": 0.00648698, ""timestamp"": ""2025-03-08T13:23:07.097264Z"", ""timestamp_ms"": 1741440187097}",1741440187374,trade,0,4123
b'BTC/USD',"{""price"": 86159.8, ""pair"": ""BTC/USD"", ""volume"": 0.00238585, ""timestamp"": ""2025-03-08T13:23:07.486357Z"", ""timestamp_ms"": 1741440187486}",1741440187728,trade,0,4124
b'BTC/EUR',"{""price"": 79579.8, ""pair"": ""BTC/EUR"", ""volume"": 0.01580373, ""timestamp"": ""2025-03-08T13:23:08.550204Z"", ""timestamp_ms"": 1741440188550}",1741440188777,trade,0,4125
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 0.000116, ""timestamp"": ""2025-03-08T13:23:09.275699Z"", ""timestamp_ms"": 1741440189275}",1741440189511,trade,0,4126
b'ETH/USD',"{""price"": 2175.0, ""pair"": ""ETH/USD"", ""volume"": 0.27421676, ""timestamp"": ""2025-03-08T13:23:12.519462Z"", ""timestamp_ms"": 1741440192519}",1741440192771,trade,0,4127
b'BTC/USD',"{""price"": 86173.0, ""pair"": ""BTC/USD"", ""volume"": 0.08123194, ""timestamp"": ""2025-03-08T13:23:13.091907Z"", ""timestamp_ms"": 1741440193091}",1741440193318,trade,0,4128
b'BTC/USD',"{""price"": 86185.6, ""pair"": ""BTC/USD"", ""volume"": 0.29175562, ""timestamp"": ""2025-03-08T13:23:15.392158Z"", ""timestamp_ms"": 1741440195392}",1741440195750,trade,0,4129
b'BTC/USD',"{""price"": 86182.3, ""pair"": ""BTC/USD"", ""volume"": 0.70824438, ""timestamp"": ""2025-03-08T13:23:15.392158Z"", ""timestamp_ms"": 1741440195392}",1741440195751,trade,0,4130
b'BTC/USD',"{""price"": 86188.3, ""pair"": ""BTC/USD"", ""volume"": 0.00022591, ""timestamp"": ""2025-03-08T13:23:15.477239Z"", ""timestamp_ms"": 1741440195477}",1741440195853,trade,0,4131
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025307, ""timestamp"": ""2025-03-08T13:23:16.021032Z"", ""timestamp_ms"": 1741440196021}",1741440196257,trade,0,4132
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 9.693e-05, ""timestamp"": ""2025-03-08T13:23:16.044362Z"", ""timestamp_ms"": 1741440196044}",1741440196289,trade,0,4133
b'ETH/EUR',"{""price"": 2009.46, ""pair"": ""ETH/EUR"", ""volume"": 0.0478938, ""timestamp"": ""2025-03-08T13:23:17.423923Z"", ""timestamp_ms"": 1741440197423}",1741440197665,trade,0,4134
b'ETH/EUR',"{""price"": 2009.47, ""pair"": ""ETH/EUR"", ""volume"": 0.1967552, ""timestamp"": ""2025-03-08T13:23:17.423923Z"", ""timestamp_ms"": 1741440197423}",1741440197666,trade,0,4135
b'BTC/USD',"{""price"": 86180.7, ""pair"": ""BTC/USD"", ""volume"": 0.00041555, ""timestamp"": ""2025-03-08T13:23:18.400330Z"", ""timestamp_ms"": 1741440198400}",1741440198621,trade,0,4136
b'ETH/USD',"{""price"": 2174.99, ""pair"": ""ETH/USD"", ""volume"": 0.68914959, ""timestamp"": ""2025-03-08T13:23:20.477216Z"", ""timestamp_ms"": 1741440200477}",1741440200757,trade,0,4137
b'BTC/EUR',"{""price"": 79579.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025268, ""timestamp"": ""2025-03-08T13:23:23.206202Z"", ""timestamp_ms"": 1741440203206}",1741440203423,trade,0,4138
b'ETH/USD',"{""price"": 2175.0, ""pair"": ""ETH/USD"", ""volume"": 0.38347527, ""timestamp"": ""2025-03-08T13:23:24.096159Z"", ""timestamp_ms"": 1741440204096}",1741440204313,trade,0,4139
b'ETH/USD',"{""price"": 2175.0, ""pair"": ""ETH/USD"", ""volume"": 0.03514597, ""timestamp"": ""2025-03-08T13:23:24.096398Z"", ""timestamp_ms"": 1741440204096}",1741440204348,trade,0,4140
b'ETH/USD',"{""price"": 2175.0, ""pair"": ""ETH/USD"", ""volume"": 0.42624389, ""timestamp"": ""2025-03-08T13:23:24.096398Z"", ""timestamp_ms"": 1741440204096}",1741440204348,trade,0,4141
b'ETH/EUR',"{""price"": 2009.72, ""pair"": ""ETH/EUR"", ""volume"": 0.01245648, ""timestamp"": ""2025-03-08T13:23:27.446238Z"", ""timestamp_ms"": 1741440207446}",1741440207671,trade,0,4142
b'ETH/USD',"{""price"": 2175.4, ""pair"": ""ETH/USD"", ""volume"": 0.0084812, ""timestamp"": ""2025-03-08T13:23:28.529722Z"", ""timestamp_ms"": 1741440208529}",1741440208941,trade,0,4143
b'BTC/EUR',"{""price"": 79586.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025302, ""timestamp"": ""2025-03-08T13:23:35.031217Z"", ""timestamp_ms"": 1741440215031}",1741440215249,trade,0,4144
b'ETH/USD',"{""price"": 2175.4, ""pair"": ""ETH/USD"", ""volume"": 0.00086557, ""timestamp"": ""2025-03-08T13:23:36.294597Z"", ""timestamp_ms"": 1741440216294}",1741440216516,trade,0,4145
b'BTC/USD',"{""price"": 86188.0, ""pair"": ""BTC/USD"", ""volume"": 0.00079334, ""timestamp"": ""2025-03-08T13:23:40.510236Z"", ""timestamp_ms"": 1741440220510}",1741440220731,trade,0,4146
